ANIO_REPORT;ANIO;CODMES;MES;DIA;COD_PROV;PROV;COD_CANT;CANT;COD_TIPO;TIPO;COD_EST;ESTACION;PM2.5
2021;2005;1;Enero;22;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;21,89
2021;2005;1;Enero;23;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;19,75
2021;2005;1;Enero;24;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;13,11
2021;2005;1;Enero;25;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;21,89
2021;2005;1;Enero;26;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;26,52
2021;2005;1;Enero;27;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;23,53
2021;2005;1;Enero;28;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;27,67
2021;2005;1;Enero;29;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;26,02
2021;2005;1;Enero;30;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;19,22
2021;2005;1;Enero;31;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;22,20
2021;2005;2;Febrero;2;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;20,02
2021;2005;2;Febrero;4;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;18,88
2021;2005;2;Febrero;5;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;14,87
2021;2005;2;Febrero;6;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;10,21
2021;2005;2;Febrero;7;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;11,86
2021;2005;2;Febrero;8;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;11,36
2021;2005;2;Febrero;9;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;19,05
2021;2005;2;Febrero;10;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;21,44
2021;2005;2;Febrero;11;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;19,91
2021;2005;2;Febrero;12;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;16,90
2021;2005;2;Febrero;13;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;14,58
2021;2005;2;Febrero;14;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;16,10
2021;2005;2;Febrero;15;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;17,28
2021;2005;2;Febrero;16;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;12,11
2021;2005;2;Febrero;17;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;17,44
2021;2005;2;Febrero;18;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;23,18
2021;2005;2;Febrero;19;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;20,93
2021;2005;2;Febrero;20;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;18,57
2021;2005;2;Febrero;21;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;25,53
2021;2005;2;Febrero;22;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;27,51
2021;2005;2;Febrero;23;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;23,65
2021;2005;2;Febrero;24;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;22,09
2021;2005;2;Febrero;25;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;19,99
2021;2005;2;Febrero;26;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;21,89
2021;2005;2;Febrero;27;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;19,15
2021;2005;2;Febrero;28;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;3;Belisario;21,05
2021;2005;2;Febrero;1;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;26,66
2021;2005;2;Febrero;2;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;22,71
2021;2005;2;Febrero;3;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;22,59
2021;2005;2;Febrero;4;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;21,82
2021;2005;2;Febrero;5;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;16,85
2021;2005;2;Febrero;6;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;10,91
2021;2005;2;Febrero;7;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;12,11
2021;2005;2;Febrero;8;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;10,88
2021;2005;2;Febrero;9;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;16,82
2021;2005;2;Febrero;10;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;19,24
2021;2005;2;Febrero;11;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;17,87
2021;2005;2;Febrero;12;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;19,35
2021;2005;2;Febrero;13;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;26,34
2021;2005;2;Febrero;14;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;16,67
2021;2005;2;Febrero;15;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;14,47
2021;2005;2;Febrero;16;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;15,80
2021;2005;2;Febrero;17;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;15,46
2021;2005;2;Febrero;18;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;33,48
2021;2005;2;Febrero;19;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;31,91
2021;2005;2;Febrero;20;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;20,35
2021;2005;2;Febrero;21;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;24,80
2021;2005;2;Febrero;22;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;4;El Camal;28,02
